,text
104,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
105,"@powriho @supersaunik @bhak_sala Odd day :
Welcomed talent irrespective of Nationality 
Even day:
#BlackLivesMatter 
#AsianLivesMatter

US ki chutiyapa 😂😂"
106,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…"
107,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
108,"RT @ASJ_CG: FREE #Action #Thriller #Ebook

The #ChroniclesOfAHumbleHitter 🔥 series based out of #Oregon
#mustread #Original #bookseries 
#B…"
109,"@supersaunik @bhak_sala Odd day :
Welcomed talent irrespective of Nationality 
Even day:
#BlackLivesMatter 

US is communist, imperialist, facist wearing democracy as democracy that's how they are powerful."
110,"#BlackLivesMatter 
WE MUST NEVER FORGET ✊🏿💯 THE BLACK HOLOCAUST 💯 #BlackHistoryMonth #BlackHistory #BlackLivesMatter https://t.co/rLLlHOOvYE"
111,I think Ukraine must be nuked. Because they are not treating well with blacks and indians. #Putin #Africans  #UkraineRussiaWar #racism #BlackLivesMatter #indianstudents #nuclearbomb #Ukraine #Russian
112,RT @ISASaxonists: Come along as we celebrate Black men and women who have contributed to academia. This month we are going to honor these b…
113,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…"
114,"Tue Jul 21 2020 Portland, Oregon - Indiscriminate shooting of less-lethal projectiles WATCH: https://t.co/dJimWPoyJI #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
115,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…"
116,"EXPLAINER: How is Russia-Ukraine war linked to religion?

https://t.co/B91RlgyRZb
#HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
117,RT @sydneycarolynn: Police brutality is a thing and has been a serious problem for almost a century now. Sometimes it isn’t even about race…
