,Unnamed: 0,text,Preporcessed_Text
4698,4698,🚨Ukrainian Drags Screaming Black Woman off Train Only Whites Allowed. #ukrainewar #ProtectBlackWomen #BlackLivesMatter https://t.co/7FUaaRZHvt,ukrainian drag scream black woman train white allow ukrainewar protectblackwoman blacklivesmatter httpstcofuaarzhvt
4699,4699,"""South Africa""

GEMS has the audacity to repeat the realities of apartheid discrimination.

👨🏽‍⚕️🥼🩺
https://t.co/OThlIq6UmA

@CMScares4u @GEMS_Number1
@HealthZA  
Constitution ""The EFF""
Spirituality #QM #4IR
#BlackLivesMatter 
#The7dayTheory #BudgetSpeech2022 #BlackHistoryMonth",south africa gem audacity repeat realitie apartheid discrimination httpstcoothliquma cmscaresu gemsnumber healthza constitution eff spirituality qm ir blacklivesmatter thedaytheory budgetspeech blackhistorymonth
4700,4700,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",rt africanarchive year ago today unarmed trayvon martin shoot dead george zimmerman fuel movement blac
4701,4701,"""South Africa""

GEMS has the audacity to repeat the realities of apartheid discrimination.

👨🏿‍⚕️🥼🩺
https://t.co/OThlIq6UmA

@CMScares4u @GEMS_Number1
@HealthZA  
Constitution ""The EFF""
Spirituality #QM #4IR
#BlackLivesMatter 
#The7dayTheory #BudgetSpeech2022 #BlackHistoryMonth https://t.co/WwUEvo49vl",south africa gem audacity repeat realitie apartheid discrimination httpstcoothliquma cmscaresu gemsnumber healthza constitution eff spirituality qm ir blacklivesmatter thedaytheory budgetspeech blackhistorymonth httpstcowwuevovl
4702,4702,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",rt africanarchive year ago today unarmed trayvon martin shoot dead george zimmerman fuel movement blac
4703,4703,"What is going on??? This is ridiculous!!! This is sad. I know there's a war but this is wrong on so many levels!!!
#RussiaUkraineWar #AfricansinUkraine #BlackHistoryMonth #PolandBorder #BlackLivesMatter #Refugees @UN #VolodymyrZelensky #africanInUkraine https://t.co/eIJlJMbYbV",go ridiculous sad know war wrong many level russiaukrainewar africansinukraine blackhistorymonth polandborder blacklivesmatter refugee un volodymyrzelensky africaninukraine httpstcoeijljmbybv
4704,4704,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",rt africanarchive year ago today unarmed trayvon martin shoot dead george zimmerman fuel movement blac
4705,4705,"Even in the face of war, there is #racism against the black...

#BlackLivesMatter 

///Ukraine Poland Putin USA War https://t.co/FeImKNMgrT",even face war racism black blacklivesmatter ukraine poland putin usa war httpstcofeimknmgrt
4706,4706,"""South Africa""

GEMS has the audacity to repeat the realities of apartheid discrimination.

👇🏾👨🏿‍⚕️🥼🩺
https://t.co/NRnkTMA1XO

@CMScares4u @GEMS_Number1
@HealthZA 
Constitution ""The EFF""
Spirituality #QM #4IR
#BlackLivesMatter 
#The7dayTheory #BudgetSpeech2022 #BlackHistoryMonth",south africa gem audacity repeat realitie apartheid discrimination httpstconrnktmaxo cmscaresu gemsnumber healthza constitution eff spirituality qm ir blacklivesmatter thedaytheory budgetspeech blackhistorymonth
4707,4707,RT @Surbiton_Racism: @Star_BLM @MonitoringGroup I’ve been told by Kingston council that I will get evicted if I put up #BlackLivesMatter po…,rt surbitonracism starblm monitoringgroup i have tell kingston council get evict put blacklivesmatter po
4708,4708,Stand against racism #racism #BlackLivesMatter #BLM #Ukraine #UkraineUnderAttack #racisminUkraine https://t.co/qNfq7n7bh4,stand racism racism blacklivesmatter blm ukraine ukraineunderattack racisminukraine httpstcoqnfqnbh
4709,4709,"RT @Amaka_Ekwo: I’m not surprised.
She is a Black.
Is that not racism?

Someone told me that the people of Ukrainian don’t like Black peopl…",rt amakaekwo i be surprised black racism someone tell people ukrainian do not like black peopl
4710,4710,"#POTUS 
#SCOTUS 
#GOP 
#DNC 
#PressSec 
#RepMTG
#FoxNews 
#CNN 
#Antifa 
#BlackLivesMatter 
#ISIS 
#PONTIFEX 
#Copelandnetwork 
#WSJ 
#NYSE

What's wrong with this picture?

Russian T 80U abandoned https://t.co/pHuVRklmvs via @YouTube",potus scotus gop dnc presssec repmtg foxnews cnn antifa blacklivesmatter isis pontifex copelandnetwork wsj nyse what s wrong picture russian u abandon httpstcophuvrklmv via youtube
4711,4711,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…",rt cumeberechukwu nigeriainvasion world attention ukraine nigeria state invade biafra world will not talk
4712,4712,RT @AriesaSandino: Good morning! I need everyone who showed support for #BlackLivesMatter to do the same for #StandWithUkriane! This is abo…,rt ariesasandino good morning need everyone show support blacklivesmatter standwithukriane abo
4713,4713,"""South Africa""

GEMS has the audacity to repeat the realities of apartheid discrimination.

👨🏿‍⚕️🥼🩺
https://t.co/0njgY0FIZ0

@CMScares4u 
@HealthZA @Tourism_gov_za Constitution ""The EFF""
Spirituality #QM #4IR
#BlackLivesMatter 
#The7dayTheory #BudgetSpeech2022 #BlackHistoryMonth",south africa gem audacity repeat realitie apartheid discrimination httpstconjgyfiz cmscaresu healthza tourismgovza constitution eff spirituality qm ir blacklivesmatter thedaytheory budgetspeech blackhistorymonth
4714,4714,"RT @chimchilla15: Poland has been accepting black people, don't believe Russian propaganda to turn you against Ukraine.
#BlackLivesMatter #…",rt chimchilla poland accept black people believe russian propaganda turn ukraine blacklivesmatter
4715,4715,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…,rt nadinewrite black people stick ukraine reportedly subject racism even attempt flee safety even duri
4716,4716,"RT @Amaka_Ekwo: I’m not surprised.
She is a Black.
Is that not racism?

Someone told me that the people of Ukrainian don’t like Black peopl…",rt amakaekwo i be surprised black racism someone tell people ukrainian do not like black peopl
4717,4717,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…",rt cumeberechukwu nigeriainvasion world attention ukraine nigeria state invade biafra world will not talk
